"filename", "language", "Markdown", "PowerShell", "CSS", "HTML", "Python", "pip requirements", "JavaScript", "CMake", "YAML", "Dart", "Swift", "C++", "JSON", "XML", "comment", "blank", "total"
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 24, 55, 289
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 31, 24, 103
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\action_factory.py", "Python", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 48
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\delete_video_action.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\file_ops.py", "Python", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 42
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\rename_video_action.py", "Python", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 77
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\trim_video_action.py", "Python", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 166
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\objects\user_action.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\services\__init__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\services\action_history_service.py", "Python", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\services\folder_lock.py", "Python", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 72
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\start_video_review.ps1", "PowerShell", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 11
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\static\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 512, 0, 0, 0, 0, 0, 0, 0, 8, 51, 571
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\static\style.css", "CSS", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 189
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\templates\index.html", "HTML", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"Total", "-", 112, 7, 170, 72, 650, 1, 512, 461, 22, 991, 38, 539, 103, 343, 267, 678, 4966
